time,duration,pitch,note_name,string,fret,confidence
0.0,0.7198,60,C4,3,5,0.8428
0.8359,0.7895,62,D4,3,7,0.715
1.6022,0.8127,64,E4,4,5,0.9357
2.531,0.743,65,F4,4,6,0.794
3.2044,1.4164,67,G4,5,3,0.7623
3.9938,0.8127,69,A4,5,5,0.6426
4.8065,0.7895,70,A#4,5,6,0.9644
5.596,0.7663,71,B4,5,7,0.8472
6.4087,1.0913,72,C5,5,8,0.8115
