time,duration,midi_pitch,note_name,velocity
0.0,0.875,60,C4,80
0.875,1.625,67,G4,80
2.625,0.875,60,C4,80
3.625,1.875,67,G4,80
5.625,0.875,60,C4,80
6.5,0.875,58,A#3,80
7.875,0.875,60,C4,80
8.75,1.625,67,G4,80
10.5,0.875,60,C4,80
11.5,1.875,67,G4,80
13.5,0.875,60,C4,80
14.375,0.875,58,A#3,80
