time,duration,pitch,note_name,string,fret,confidence
0.0,0.8127,60,C4,3,5,0.8375
0.8824,1.695,67,G4,5,3,0.6336
2.6239,0.9055,60,C4,3,5,0.9325
3.6223,1.9273,67,G4,5,3,0.7263
5.6192,0.8824,60,C4,3,5,0.7013
6.5016,1.2771,58,A#3,3,3,0.7229
7.8716,0.8823,60,C4,2,10,0.7033
8.7539,1.6951,67,G4,5,3,0.8386
10.4954,0.9056,60,C4,3,5,0.8499
11.4939,1.9272,67,G4,5,3,0.7288
13.4908,0.7895,60,C4,3,5,0.6148
14.4196,1.9505,58,A#3,3,3,0.6118
